custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid
4505612,-86.008462,39.99296,1278259790,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505613,-86.005267,40.008184,1278303117,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505614,-86.024909,39.938766,1278241475,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505615,-86.017423,39.929071,1197912694,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
4505616,-86.059021,39.893159,19503108,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
4505617,-86.077384,39.911953,758812339,1,8.0,424.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505633,-86.012398,40.0471,19490882,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0
4505634,-86.112007,40.026122,1220036723,1,4.0,212.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505635,-86.066745,40.042245,1067566760,1,18.0,954.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505636,-86.009956,39.994576,1278253760,1,4.0,212.0,2,2,1,0,1,0,0,0,0,A,0,0,1,0
4505637,-86.009938,39.994624,1278253760,1,8.0,424.0,2,2,1,0,1,0,0,0,0,A,0,0,1,0
4505638,-86.043841,39.945772,1220132610,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505639,-86.044066,39.957427,1278267741,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505640,-86.041158,39.951262,711440938,1,10.0,530.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505641,-86.059015,39.89312,19503108,1,4.0,320.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
4505642,-86.072062,39.913052,1051476425,1,6.0,318.0,2,2,1,0,0,0,1,0,0,A,1,0,1,0
4505659,-85.999025,40.045276,1278375533,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505660,-86.019203,40.05039,1165272614,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0
4505661,-86.019203,40.05039,1165272614,1,8.0,424.0,2,2,0,1,0,1,0,0,0,A,0,0,1,0
4505662,-86.067487,40.003411,1128166517,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
